,Season,Gameday,Link,Score,Minute,Player
706,2004,19,677838,1,57,22664
707,2004,19,677840,1,57,23263
708,2004,19,677840,2,74,1738
709,2004,19,677841,-1,6,23859
710,2004,19,677841,-2,11,144
711,2004,19,677841,-1,52,27621
712,2004,19,677841,0,71,24364
713,2004,19,677841,-1,83,29757
714,2004,19,677841,-2,85,144
715,2004,19,677839,1,5,9126
716,2004,19,677839,2,31,23709
717,2004,19,677839,1,45,30893
718,2004,19,677839,2,62,9126
719,2004,19,677839,1,65,29700
720,2004,20,677842,1,15,25173
721,2004,20,677842,0,61,23475
722,2004,20,677844,-1,6,25041
723,2004,20,677844,-2,30,463
724,2004,20,677844,-3,56,463
725,2004,20,677844,-2,72,24762
726,2004,20,677845,1,19,22574
727,2004,20,677845,0,29,9122
728,2004,20,677846,1,45,25031
729,2004,20,677846,2,68,29270
730,2004,20,677847,-1,26,1654
731,2004,20,677847,-2,68,235
732,2004,20,677847,-3,76,1654
733,2004,20,677848,-1,30,27558
734,2004,20,677848,-2,53,27558
735,2004,20,677848,-1,82,30176
736,2004,20,677848,-2,90,25206
737,2004,20,677849,-1,25,22575
738,2004,20,677849,0,66,25496
739,2004,20,677849,1,73,22838
740,2004,20,677849,0,90,22645
741,2004,20,677843,-1,13,25338
742,2004,20,677843,0,25,29746
743,2004,20,677843,1,30,25875
744,2004,20,677843,2,49,25875
745,2004,20,677843,1,62,28296
746,2004,20,677850,1,26,1185
747,2004,20,677850,2,49,430
748,2004,20,677850,1,50,23709
749,2004,20,677850,0,59,27616
750,2004,20,677850,-1,87,27646
751,2004,21,677853,1,21,25041
752,2004,21,677855,1,29,30611
753,2004,21,677855,2,88,32627
754,2004,21,677856,1,13,22057
755,2004,21,677856,2,35,22575
756,2004,21,677856,3,86,27823
757,2004,21,677857,1,4,320
758,2004,21,677857,2,51,23141
759,2004,21,677857,1,83,25496
760,2004,21,677858,-1,15,24364
761,2004,21,677858,0,17,63
762,2004,21,677858,1,54,27975
763,2004,21,677859,1,30,512
764,2004,21,677859,0,79,29757
765,2004,21,677859,1,90,24795
766,2004,21,677851,1,64,23504
767,2004,21,677851,2,69,22814
768,2004,21,677852,1,23,23949
769,2004,21,677852,2,61,9122
770,2004,21,677852,1,80,26110
771,2004,21,677852,2,83,9122
772,2004,22,677860,1,29,27558
773,2004,22,677860,2,40,24618
774,2004,22,677860,1,51,26143
775,2004,22,677861,1,35,25400
776,2004,22,677861,2,56,21734
777,2004,22,677861,1,80,33864
778,2004,22,677861,2,84,30865
779,2004,22,677862,1,4,313
780,2004,22,677862,2,6,25031
781,2004,22,677862,3,28,24314
782,2004,22,677862,4,34,25031
783,2004,22,677862,5,54,25031
784,2004,22,677864,-1,3,25733
785,2004,22,677864,0,30,29757
786,2004,22,677864,-1,33,242
787,2004,22,677864,0,53,29757
788,2004,22,677864,-1,60,25733
789,2004,22,677864,-2,79,22814
790,2004,22,677866,1,4,29781
791,2004,22,677866,2,7,27607
792,2004,22,677866,3,63,430
793,2004,22,677866,4,83,1437
794,2004,22,677868,-1,4,27616
795,2004,22,677868,-2,7,23156
796,2004,22,677868,-1,38,27327
797,2004,22,677868,-2,63,21927
798,2004,22,677868,-3,85,32627
799,2004,22,677865,1,10,27472
800,2004,22,677867,1,38,127
801,2004,22,677867,0,44,22645
